Title,Poem,PoemToPixel
5. Oh Dear!,"Oh dear! What can the matter be?
 Oh dear! What can the matter be?
 FATA
 Oh dear! What can the matter be?
 Johnny's so long at the fair.
 He promised to buy me a bunch of blue ribbons,
 To tie up my long brown hair.
 Oh dear! What can the matter be?
 Oh dear! What can the matter be?
 Oh dear! What can the matter be?
 Johnny's so long at the fair.","The main theme of the poem revolves around anxiety and anticipation related to a loved one’s absence. The repeated questioning of ""What can the matter be?"" emphasizes the speaker's concern and worry, creating a mood of tension and longing. The mention of Johnny and the blue ribbons suggests innocence and a simple romantic yearning, which adds a gentle, nostalgic quality to the piece.
 

 Notable literary devices include repetition, which serves to heighten the emotional urgency of the speaker's feelings, as well as imagery, particularly in the reference to ""blue ribbons"" and ""long brown hair,"" painting a vivid picture of youthful innocence and affection. The poem's rhythm and rhyme also contribute to a lyrical quality, enhancing its overall charm and making it memorable."
6. I'm a little Teapot,"I'm a little teapot
 Short and stout
 This is my handle
 This is my spout
 When the water's boiling
 Hear me shout
 Pick me up and pour me out","The poem ""I'm a Little Teapot"" is a playful and child-friendly verse that embodies the theme of simplicity and whimsy. The poem's mood is light-hearted and cheerful, inviting young readers to engage with the imagery of a teapot. Notable literary devices include personification, as the teapot is given human-like qualities (e.g., shouting when boiling), and rhyme, which contributes to its sing-song quality, making it memorable and easy to recite. Overall, the poem captures the joy of everyday objects through imaginative language."
"7. One, two, buckle my shoe","One, two, buckle my shoe
 Three, four, knock at the door
 Five, six, pick up the sticks,
 Seven, eight, lay them straight
 Nine, ten, a big fat hen","The poem presents a playful and rhythmic counting rhyme that emphasizes the theme of childhood innocence and the joy of learning numbers. The mood is lighthearted and whimsical, evoking feelings of nostalgia and simplicity. Notable literary devices used include repetition and rhyme, which create a musical quality that enhances its appeal to young readers. The imagery is vivid and relatable, incorporating everyday activities, fostering engagement and encouraging participation in learning."
"8. Row, row, row your boat","Gently down the stream
 Merrily, merrily, merrily, merrily
 Life is but a dream
 Row row row your boat
 Gently down the stream
 If you see a small fish Don't forget to scream Row row row your boat
 Gently down the stream
 If you see a big fish
 Don't you ever scream","The poem revolves around the theme of life's transient nature, encapsulated in the idea that ""life is but a dream."" The mood is light-hearted and whimsical, characterized by a playful tone as it invites readers to engage in the imagery of rowing down a stream. Notable literary devices include repetition, particularly of the phrase ""row row row your boat,"" which creates a rhythmic and musical quality, contributing to the overall cheerfulness of the poem. Additionally, juxtaposition is used in the contrasting reactions to seeing different-sized fish, adding an element of humor and surprise."
9. Hot cross Buns,"Hot cross buns (2)
 One a penny, two a penny hot cross buns
 Give them to your daughters, and also to your sons,
 One a penny, two a penny Hot cross buns.","The poem ""Hot Cross Buns"" centers around the simple and jovial theme of sharing a popular baked treat during a festive time, possibly associated with Easter. The repetitive structure emphasizes the affordability and accessibility of the buns, creating a lighthearted and cheerful mood. Notable literary devices include repetition, which enhances the musicality of the verse, and alliteration in ""penny"" and ""buns,"" contributing to the rhythmic quality of the poem. Overall, the poem captures a sense of community and familial joy through the act of sharing food."
10. TWO LITTLE DICKY BIRDS,"Two little dicky birds
 Sat upon a wall;
 One named Peter,
 The other named Paul;
 Fly away, Peter!
 Fly away, Paul!
 Come back, Peter!
 Come back, Paul!","The poem ""Two Little Dicky Birds"" presents a light and playful theme centered around the whimsical lives of two birds, Peter and Paul. The mood is cheerful and inviting, capturing the innocence and simplicity of childhood. Notable literary devices include repetition, as seen in the phrases ""Fly away"" and ""Come back,"" which create a rhythmic quality and enhance the sense of movement and interaction between the birds. This repetition also reinforces the playful dynamic of the poem, making it engaging for young readers. Overall, the poem embodies a sense of joy and freedom inherent in nature and play."
11. I Hear Thunder,"I Hear thunder,
 I Hear thunder,
 Oh! don't you?
 Pitter-Patter raindrops,
 Pitter-Patter raindrops,
 I'm wet through!
 I'm wet through!
 So are You!","The main theme of the poem revolves around the experience of rain and the associated feelings of joy and connection. The poem conveys a playful and light-hearted mood, evoking a sense of childlike wonder and enjoyment in nature's elements. 
 

 Notable literary devices include repetition, with phrases like ""I hear thunder"" and ""Pitter-Patter raindrops"" reinforcing the rhythmic quality and emphasizing the sounds of the storm. The use of direct address with ""Oh! don't you?"" invites the reader or listener to engage and share in the experience, enhancing a sense of camaraderie in the delight of the rain. Additionally, the playful exclamations, such as ""I'm wet through!"" contribute to an overall whimsical tone."
12. Tooth Brush,"I have a little tooth brush
 I hold it very tight
 I brush my teeth each morning
 And then again at night","The poem revolves around the theme of personal hygiene, specifically the importance of brushing teeth. The mood is light-hearted and playful, reflecting the simplicity and routine of a child's daily activity. Notable literary devices include repetition, emphasizing the frequency of brushing (""each morning / And then again at night""), and a rhythmic structure that enhances its whimsical tone, making it engaging for readers, especially children."
13. Ten little fingers,"Ten little fingers, ten little toes
 Two little ears and one little nose,
 Two little eyes that shine so bright
 One little mouth to kiss mother
 Good Night","The poem celebrates the innocence and charm of a child, focusing on the physical features that make a baby unique. The main theme revolves around the tenderness and joy of parenthood. The mood is warm and affectionate, evoking a sense of love and care. Notable literary devices include simple rhyming couplets that create a soothing rhythm, making it suitable for a bedtime setting, as well as imagery that paints a vivid picture of the child's features. The repetition of ""little"" emphasizes the child's preciousness and innocence."
14. Clap your Hands,"Clap your hands
 Clap your hands
 Listen to the music and
 Clap your hands
 Same way-
 Stamp your feet
 Turn around
 Jump up high","The poem presents a playful and energetic theme, encouraging movement and joy through rhythmic actions like clapping, stamping, turning, and jumping. The mood is lively, inviting readers or listeners to participate actively in the celebration of music and movement. Notable literary devices include repetition, which creates a rhythmic and engaging flow, and imperative verbs that instill a sense of urgency and excitement in the instructions. Overall, the poem conveys a sense of communal fun and the joyous experience of physical expression."
15. AEROPLANE AEROPLANE,"Aeroplane, Aeroplane up in the sky,(2)
 Where are you going flying so high
 Over the hills over the seas,(2)
 Aeroplane Aeroplane please take me","The poem centers around a childlike wonder and fascination with airplanes, expressing a desire for adventure and exploration. The main theme revolves around travel and the excitement of flight, as the speaker addresses the airplane directly, yearning to join it on its journey. The mood is playful and whimsical, capturing the innocence of youthful imagination.
 

 Notable literary devices include repetition, as seen in the recurring phrases ""Aeroplane"" and ""please take me,"" which emphasizes the speaker's longing. The use of simple rhyme and rhythmic structure adds to the lightheartedness, making it accessible and engaging for readers. This child-centric perspective is further enhanced through vivid imagery of soaring ""over the hills"" and ""over the seas,"" evoking a sense of freedom and possibility."
16. Open them Shut them,"Open them, shut them(2)
 Give a little clap(2)
 Open them, shut them(2)
 Lay them on your lap(2)
 Creep them(4)
 Go upto your chin(2)
 Open wide your little mouth
 But don't let them in.
 Open them, shut them.","The main theme of ""Open Them, Shut Them"" revolves around engaging children in playful activities, emphasizing the joy of movement and interaction. The mood is light-hearted and playful, encouraging participation through simple, repetitive actions. Notable literary devices include repetition, which enhances the rhythm and makes it easy for children to follow along, and rhyme, which adds a musical quality to the poem, making it enjoyable and memorable for young readers. Overall, the poem fosters a sense of fun and togetherness in an interactive context."
17. Rainbow,"There is rainbow in the sky
 Do you know how it came by?
 Drops of water through sunlight
 Gives the sky a pretty sight
 Seven colours can be seen
 Red, yellow and lovely green
 Violet, Indigo and blue
 There is orange in it too!","The poem primarily revolves around the theme of nature's beauty, specifically focusing on the creation of a rainbow. The mood is whimsical and joyful, reflecting a sense of wonder at the vibrant colors that appear in the sky. Notable literary devices used by the poet include rhyme, as seen in the couplets that create a musicality to the poem, and imagery, as the poem vividly describes the rainbow and its seven colors, evoking a visual delight for the reader."
18. Bits of paper,"Bits of paper
 Bits of paper
 Lying on the floor
 Lying on the floor
 Makes the place untidy
 Makes the place untidy
 Pick them up
 Pick them up
 Collect all the papers
 Collect all the papers
 Where shall we throw?
 Where shall we throw?
 Throw them in the dustbin
 Throw them in the dustbin
 Now the place is clean
 Now the place is clean","The poem explores the theme of tidiness and responsibility, highlighting the importance of cleaning up one's surroundings. The repetition of phrases like ""Bits of paper"" and ""Lying on the floor"" creates a rhythmic quality, reinforcing the message while contributing to a light, playful mood. The use of anaphora, with repeated lines, emphasizes the routine nature of cleaning up and encourages participation in the task. The concluding lines evoke a sense of satisfaction and accomplishment, illustrating the transformative effect of taking action to maintain a clean environment. Overall, the poem conveys a simple yet important lesson about cleanliness in a fun and engaging way."
20. Two little hands,"Two little hands go
 Clap clap clap
 Two little feet go
 Tap tap tap
 Two little eyes
 That open wide
 One little head
 Nods side to side","The poem captures the innocence and simplicity of childhood through playful imagery and rhythmic repetition. The main theme revolves around the joyful movements and actions of a child, evoking a sense of wonder and delight. The mood is cheerful and lively, reflecting the excitement and energy of young children. Notable literary devices include alliteration in phrases like ""clap clap clap"" and ""tap tap tap,"" as well as repetition, which enhances the poem's playful tone and engages the reader or listener. Overall, the poem effectively conveys the exuberance of early childhood through its rhythmic structure and vivid descriptions of movement."
21. The Bear went over the mountain,"The bear went over the mountain (3)
 To see what he could see
 And what did you think he saw? (2)
 The other side of the mountain (3)
 Was all that he could see
 And what did you think he did? (2)
 He slipped down the mountain (3)
 And fell into the sea
 Splash.............","The main theme of the poem revolves around curiosity and exploration. The bear’s journey over the mountain symbolizes the quest for understanding and discovery. The mood is playful and whimsical, capturing a sense of innocent adventure. 
 

 Notable literary devices include repetition, highlighted through the repeated phrases that create a rhythmic structure, and a sound effect at the end (""Splash""), which adds an element of surprise and humor. The simplicity of the language enhances the poem’s light-hearted tone, making it accessible and engaging."
22. Ring a ring of roses,"Ring a ring of roses
 Pocket full of posies
 A Tishoo and A Tishoo
 We all fall down
 The cows are in the meadows
 Eating buttercups
 A Tishoo and A Tishoo
 We all jump up","The main theme of this poem revolves around the cycle of life and death, often interpreted through the lens of childhood innocence. The playful yet eerie nature of the verses reflects the contrast between carefree childhood activities and underlying darker historical associations, such as the bubonic plague. 
 

 The mood is whimsical and light-hearted at first, as it evokes a sense of playfulness typical of children's nursery rhymes. However, it also carries an undercurrent of melancholy, especially with the recurring line ""We all fall down,"" suggesting the inevitability of mortality.
 

 Notable literary devices used include repetition, as seen in the phrases ""A Tishoo and A Tishoo"" and ""We all—,"" which create a rhythmic flow that enhances the musical quality of the poem. Additionally, imagery is employed through vivid depictions of nature, such as ""cows are in the meadows"" and ""eating buttercups,"" invoking a serene pastoral scene that contrasts with the darker undertones of the rhyme."
23. Munching Mangoes,"Munching Mangoes
 Munching Mangoes
 Mish mash mush (2)
 Jumps in to the puddle
 Splish, splash, splush (2).","The poem ""Munching Mangoes"" captures a playful and joyful mood, centered around the theme of enjoying simple pleasures, particularly the delicious experience of eating mangoes and playing in puddles. The use of onomatopoeia, with phrases like ""splish, splash, splush"" and ""mish mash mush,"" enhances the whimsical feel of the poem, inviting readers to vividly imagine the sounds and actions being described. The repetition of phrases adds to the musicality of the poem, reinforcing its light-hearted and carefree essence. Overall, the poem celebrates the joy of childhood and the delight found in nature's bounty."
24. VEGETABLES,"Carrots and pumpkins
 Cabbage and peas
 Big brown potatoes
 Long green beans.
 So many vegetables
 Good for you.
 Spinach and corn
 Let us try them too.","The poem celebrates the joys of eating vegetables, emphasizing their health benefits and variety. The main theme revolves around promoting healthy eating habits through the inclusion of various vegetables in one's diet. The mood is cheerful and inviting, encouraging readers to explore and enjoy these nutritious foods. Notable literary devices include alliteration, as seen in phrases like ""Big brown potatoes"" and ""Long green beans,"" which add a rhythmic quality to the poem, enhancing its playful tone. The structure, with its simple rhyme scheme, also contributes to the overall lightheartedness and accessibility of the message."
25. I Have Two Arms...,"I have two arms that swing like this, (thrice) I have two arms that swing like this, Swing, Swing, Swing.
 I have two hands that clap like this, (thrice) I have two hands that clap like this, Clap, Clap, Clap.
 I have little fingers that wriggle like this, (thrice) I have little fingers that wriggle like this, Wriggle, Wriggle, Wriggle.
 I have two legs that jump like this, (thrice) I have two legs that jump like this, Jump, Jump, Jump.
 I have two feet that march like this, (thrice) I have two feet that march like this, March, March, March.
 I have little toes that hop like this, (thrice) I have little toes that hop like this,
 Hop, Hop, Hop.","The poem primarily revolves around the theme of physical movement and the joy of engaging with one's body through actions. It captures a playful and energetic mood, inviting readers to participate in the described movements—swinging arms, clapping hands, wiggling fingers, jumping legs, marching feet, and hopping toes.
 

 Notable literary devices include repetition, which emphasizes the rhythmic quality and encourages engagement, as the phrases are reiterated thrice to enhance the playful nature of the poem. The use of onomatopoeia with words like ""Clap,"" ""Jump,"" and ""Hop"" creates a lively auditory experience. The overall structure leads to a sense of cohesion and fun, making the poem an interactive celebration of bodily movement."
"26. RABBIT, RABBIT","Rabbit, Rabbit 1, 2, 3
 Will you come and play with me?
 Camels, Camels 4, 5, 6
 Why do you have a hump like this?
 Monkeys, Monkeys 7, 8, 9
 Will you teach me how to climb?
 When I counted up to 10,
 The elephant says,
 ""Now start again"".","The poem ""Rabbit, Rabbit"" embraces a playful theme centered around whimsical animal interactions and counting games. The mood is lighthearted and cheerful, fostering a sense of innocence and curiosity. The poem employs a rhythmic, repetitive structure, enhancing its playful tone and making it engaging for readers, especially children. Notable literary devices include alliteration with the repeated animal names and numbers, as well as personification, as the animals are depicted as capable of teaching and playing. The overall effect is a charming, interactive exploration of childhood imagination."
27. One Twa..,"One, two, one, two lets visit the zoo
 Three, four, three, four hear the lion roar
 Five, six, five, six watch the monkey tricks
 Seven, eight, seven, eight peacock looks so great
 Nine, ten, nine, ten we shall come again.","The main theme of the poem revolves around a playful and joyful visit to the zoo, highlighting the excitement of observing various animals. The mood is light-hearted and whimsical, creating a sense of anticipation and fun. Notable literary devices include rhyme, as demonstrated by the repetitive structure of the verses (""one, two, one, two"" and so forth), which creates a rhythmic quality that engages the reader. There’s also a sense of childlike wonder, as the poem lists different animals and their characteristics, inviting the reader into an imaginative experience at the zoo."
